feature,coef,abs_coef
ChestPainType_NAP,-1.6617053853761363,1.6617053853761363
ChestPainType_ATA,-1.6100448104471707,1.6100448104471707
ST_Slope_Up,-1.4350686332866607,1.4350686332866607
Sex_M,1.3346684038520735,1.3346684038520735
ChestPainType_TA,-1.2342338709078886,1.2342338709078886
FastingBS_1,1.2166979151882698,1.2166979151882698
ST_Slope_Flat,0.9190268971433708,0.9190268971433708
ExerciseAngina_Y,0.8403192544770558,0.8403192544770558
MaxHR,-0.29728409450618976,0.29728409450618976
Oldpeak,0.24893797025042158,0.24893797025042158
